Self-harm | C0424366
Toxic effect of coral snake venom, intentional self-harm, initial encounter | C2885339
Toxic effect of other specified substances, intentional self-harm, subsequent encounter | C2886193
Asphyxiation due to smothering under pillow, intentional self-harm, subsequent encounter | C2886331
Toxic effect of unspecified corrosive substance, intentional self-harm, initial encounter | C2884414
Toxic effect of other specified substances, intentional self-harm, initial encounter | C2886192
Intentional self-harm by jumping from a high place, initial encounter | C2905773
Toxic effect of other corrosive organic compounds, intentional self-harm, sequela | C2884368
Toxic effect of unspecified inorganic substance, intentional self-harm, initial encounter | C2884721
Toxic effect of unspecified snake venom, intentional self-harm, initial encounter | C2885305
Toxic effect of coral snake venom, intentional self-harm, subsequent encounter | C2885340
Toxic effect of unspecified spider venom, intentional self-harm, initial encounter | C2885524
Toxic effect of unspecified spider venom, intentional self-harm, subsequent encounter | C2885525
Toxic effect of other mycotoxin food contaminants, intentional self-harm, sequela | C2885968
Asphyxiation due to smothering under pillow, intentional self-harm, initial encounter | C2886330
Intentional self-harm by jumping from a high place, subsequent encounter | C2905774
[X]Intentional self harm by hanging, strangulation and suffocation, occurrence on farm | C0480356
[X]Intentional self harm by drowning and submersion, occurrence in residential institution | C0480361
[X]Intentional self harm by unspecified means, occurrence on street and highway | C0480506
[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at home | C0480349
[X]Intentional self harm by drowning and submersion, occurrence at unspecified place | C0480369
[X]Intentional self harm by other specified means, occurrence in residential institution | C0480493
[X]Intentional self harm by explosive material, occurrence on street and highway | C0480408
[X]Intentional self harm by sharp object, occurrence on street and highway | C0480441
[X]Intentional self harm by handgun discharge, occurrence on street and highway | C0480375
[X]Intentional self harm by smoke, fire and flames, occurrence on farm | C0480422
[X]Intentional self harm by crashing of motor vehicle, occurrence on farm | C0480488
[X]Intentional self harm by blunt object, occurrence on street and highway | C0480452
[X]Intentional self harm by unspecified means, occurrence at other specified place | C0480510
[X]Intentional self harm by other specified means, occurrence at unspecified place | C0480501
[X]Intentional self harm by smoke, fire and flames, occurrence at home | C0480415
[X]Intentional self harm by crashing of motor vehicle, occurrence at home | C0480481
[X]Intentional self harm by blunt object, occurrence at other specified place | C0480456
[X]Intentional self harm by handgun discharge, occurrence at other specified place | C0480379
[X]Intentional self harm by sharp object, occurrence at other specified place | C0480445
[X]Intentional self harm by explosive material, occurrence at other specified place | C0480412
Toxic effect of harmful algae and algae toxins, intentional self-harm, sequela | C2886161
Assist patient to identify situations and feelings that may prompt self-harm or that prompted self-harmful behavior | C4709834
self-inflicted overdose of 4-Aminophenol | C3506882
self-inflicted overdose of hormone antagonists | C3506909
self-inflicted overdose of synthetic narcotics | C3506919
late effect of intentional self harm, assault and events of undetermined intent | C4480853
Responsible staff or provider was informed of potential for resident self harm | C2707482
Intentional self-harm by drowning and submersion while in swimming pool, sequela | C2905652
Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm | C2878946
Intentional self-harm by jumping or lying in front of moving object | C2905776
Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm | C2878815
Intentional self-harm by drowning and submersion while in bathtub, initial encounter | C2905646
Intentional self-harm by drowning and submersion in natural water, initial encounter | C2905658
Intentional self-harm by drowning and submersion while in bathtub, subsequent encounter | C2905647
Intentional self-harm by drowning and submersion in natural water, subsequent encounter | C2905659
Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm | C2879618
Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm | C2879894
Poisoning by other drugs acting on muscles, intentional self-harm, subsequent encounter | C2880000
Toxic effect of other specified gases, fumes and vapors, intentional self-harm | C2884977
Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm | C2879643
Poisoning by unspecified drugs acting on muscles, intentional self-harm, initial encounter | C2879973
Poisoning by unspecified drugs acting on muscles, intentional self-harm, subsequent encounter | C2879974
Poisoning by other drugs acting on muscles, intentional self-harm, initial encounter | C2879999
Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, sequela | C2884996
Intentional self-harm by drowning and submersion after jump into swimming pool | C2905653
Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, initial encounter | C2879593
Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, subsequent encounter | C2879594
Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, sequela | C2876571
Poisoning by other hormones and synthetic substitutes, intentional self-harm, subsequent encounter | C2877253
Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, sequela | C2879364
Poisoning by local astringents and local detergents, intentional self-harm, subsequent encounter | C2883333
Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, sequela | C2883612
Toxic effect of lead and its compounds, intentional self-harm, subsequent encounter | C2884465
Toxic effect of mercury and its compounds, intentional self-harm, initial encounter | C2884480
Toxic effect of mercury and its compounds, intentional self-harm, subsequent encounter | C2884481
Toxic effect of zinc and its compounds, intentional self-harm, initial encounter | C2884544
Toxic effect of zinc and its compounds, intentional self-harm, subsequent encounter | C2884545
Toxic effect of tin and its compounds, intentional self-harm, subsequent encounter | C2884561
Toxic effect of phosphorus and its compounds, intentional self-harm, subsequent encounter | C2884658
Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm | C2886473
Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, subsequent encounter | C2877201
Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, sequela | C2876972
Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, sequela | C2877073
Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter | C2877200
Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, sequela | C2877539
Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela | C2878202
Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela | C2878228
Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm | C2879307
Poisoning by other primarily systemic and hematological agents, intentional self-harm, sequela | C2879338
Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm | C2883583
Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter | C2883709
Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, sequela | C2883762
Poisoning by other vaccines and biological substances, intentional self-harm, initial encounter | C2883962
Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, subsequent encounter | C2883710
Poisoning by other vaccines and biological substances, intentional self-harm, subsequent encounter | C2883963
Toxic effect of lead and its compounds, intentional self-harm, initial encounter | C2884464
Toxic effect of chromium and its compounds, intentional self-harm, subsequent encounter | C2884497
Toxic effect of tin and its compounds, intentional self-harm, initial encounter | C2884560
Toxic effect of beryllium and its compounds, intentional self-harm, subsequent encounter | C2884577
